(-40.140625, 3101.0, 42.859375, 3121.0)
(-4445.015625, 534.0, -4367.015625, 559.0)
(-1398.0, 4371.796875, -966.0, 4402.796875)
(358.0, 1191.125, 703.0, 1441.125)
(-1930.109375, 3443.0, -1715.109375, 3507.0)
(-33.15625, 4636.796875, -22.15625, 4649.796875)
(-908.75, 855.21875, -633.75, 1010.21875)
(2407.71875, 4651.796875, 2809.71875, 4728.796875)
(625.5625, 4099.296875, 860.5625, 4237.296875)
(1177.765625, 2870.0, 1477.765625, 2960.0)
(-3275.015625, 485.0, -3182.015625, 510.0)
(-427.5, 947.5625, -395.5, 979.5625)
(378.0, 2382.0, 924.0, 2382.0)
(1496.84375, 3400.0, 1507.84375, 3413.0)
(1497.84375, 2242.0, 1509.84375, 2255.0)
(655.0, 894.0, 930.0, 1079.0)
(358.0, 2447.0, 1528.0, 3081.0)
(252.859375, 3101.0, 335.859375, 3121.0)
(358.0, 2858.0, 623.0, 2877.0)
(758.0, 1244.125, 1128.0, 1244.125)
(388.625, 3932.296875, 1097.625, 4018.296875)
(-475.0, 4351.796875, -474.0, 4352.796875)
(1820.0, 3081.0, 1821.0, 3082.0)
(1434.0, 4659.796875, 1866.0, 4721.796875)
(525.84375, 4886.796875, 549.84375, 4910.796875)
(1393.5625, 4028.59375, 1402.5625, 4039.59375)
(358.0, 841.0, 1528.0, 1141.0)
(343.0, 2447.0, 743.0, 2985.0)
(2428.0, 3501.0, 2680.0, 3501.0)
(3322.0, 4721.796875, 3754.0, 4721.796875)
(-454.0, 4721.796875, -22.0, 4721.796875)
(829.390625, 0.0, 990.390625, 121.0)
(-2814.0, 4659.796875, -2382.0, 4721.796875)
(1018.0, 1763.828125, 1128.0, 1838.828125)
(788.578125, 2926.0, 1003.578125, 2947.0)
(892.484375, 4099.296875, 1127.484375, 4237.296875)
(758.0, 1462.828125, 1128.0, 1640.828125)
(1714.296875, 3101.0, 1801.296875, 3121.0)
(646.0, 0.0, 741.0, 121.0)
(358.0, 2767.0, 703.0, 2808.0)
(1869.390625, 1052.125, 2126.390625, 1105.125)
(358.0, 2626.0, 618.0, 2626.0)
(1590.4375, 3417.0, 1801.4375, 3507.0)
(536.78125, 3421.0, 628.78125, 3446.0)
(358.0, 2717.0, 618.0, 2717.0)
(358.0, 3680.0, 1128.0, 4302.0)
(1143.0, 2530.0, 1512.0, 3001.0)
(609.546875, 4099.296875, 876.546875, 4302.296875)
(835.6875, 4371.796875, 921.6875, 4391.796875)
(0.0, 0.0, 881.0, 21.0)
(-6053.75, 550.0, -5521.75, 622.0)
(1029.375, 1462.828125, 1128.375, 1483.828125)
(536.78125, 3421.0, 613.78125, 3446.0)
(-55.0, 15.0, -30.0, 40.0)
(408.0, 596.0, 416.0, 604.0)
(0.0, 0.0, 1543.0, 21.0)
(343.0, 3627.0, 1143.0, 4352.0)
(0.0, 0.0, 200.0, 84.0)
(-580.703125, 4371.796875, -493.703125, 4391.796875)
(709.421875, 50.796875, 727.421875, 67.796875)
(358.0, 2808.0, 618.0, 2808.0)
(539.96875, 2789.0, 605.96875, 2810.0)
(1256.0, 3397.0, 1508.0, 3418.0)
(617.84375, 3426.0, 628.84375, 3439.0)
(655.0, 894.0, 930.0, 1049.0)
(758.0, 1787.828125, 1003.0, 1825.828125)
(2720.53125, 4631.796875, 2809.53125, 4656.796875)
(367.984375, 4631.796875, 449.984375, 4656.796875)
(1424.0, 2237.0, 1509.0, 2262.0)
(833.76171875, 4066.171875, 1068.76171875, 4199.171875)
(1529.0, 3377.0, 1821.0, 3521.0)
(490.0, 4659.796875, 922.0, 4721.796875)
(-809.5, 1052.125, -565.5, 1105.125)
(904.609375, 2925.0, 989.609375, 2947.0)
(2113.0, 3081.0, 2114.0, 3082.0)
(490.0, 4371.796875, 922.0, 4402.796875)
(1775.515625, 4631.796875, 1865.515625, 4656.796875)
(1665.5, 947.5625, 1697.5, 979.5625)
(-2.0, 4351.796875, 470.0, 4741.796875)
(-1418.0, 4613.796875, -946.0, 4741.796875)
(-921.0, 3395.0, -851.0, 3420.0)
(-1398.0, 4721.796875, -966.0, 4721.796875)
(1390.5, 4142.84375, 1500.5, 4217.84375)
(919.71875, 2628.0, 989.71875, 2650.0)
(-1524.3125, 4371.796875, -1438.3125, 4391.796875)
(788.578125, 2848.0, 1003.578125, 2848.0)
(-5228.0, 536.0, -4352.0, 557.0)
(367.859375, 853.0, 371.859375, 865.0)
(1158.0, 1872.0, 1528.0, 1934.0)
(1391.578125, 2964.0, 1463.578125, 2986.0)
(904.375, 1862.828125, 1003.375, 1883.828125)
(919.0, 1313.96484375, 951.0, 1359.96484375)
(-128.5, 947.5625, -96.5, 979.5625)
(0.0, 4935.796875, 1886.0, 4935.796875)
(-541.0, 894.0, -266.0, 1101.0)
(998.65625, 4651.796875, 1393.65625, 4728.796875)
(1423.0, 3395.0, 1508.0, 3420.0)
(919.71875, 2629.0, 1003.71875, 2650.0)
(-1674.0, 3423.0, -1422.0, 3501.0)
(1253.0, 1057.125, 1528.0, 1101.125)
(1872.078125, 3443.0, 2094.078125, 3507.0)
(96.59375, 4651.796875, 449.59375, 4728.796875)
(359.0, 0.0, 645.0, 121.0)
(1158.0, 1674.0, 1528.0, 1749.0)
(-350.0, 0.0, 0.0, 50.0)
(3322.0, 4659.796875, 3754.0, 4721.796875)
